param_index,param_name,unit,norm_value,readback,display
10,"Speed LFO"," %",0.343750,0.340000,"34"
10,"Speed LFO"," %",0.375000,0.370000,"37"
10,"Speed LFO"," %",0.406250,0.400000,"40"
10,"Speed LFO"," %",0.437500,0.430000,"43"
10,"Speed LFO"," %",0.468750,0.460000,"46"
10,"Speed LFO"," %",0.500000,0.500000,"50"
10,"Speed LFO"," %",0.531250,0.530000,"53"
10,"Speed LFO"," %",0.562500,0.560000,"56"
10,"Speed LFO"," %",0.593750,0.590000,"59"
10,"Speed LFO"," %",0.625000,0.620000,"62"
10,"Speed LFO"," %",0.656250,0.650000,"65"
10,"Speed LFO"," %",0.687500,0.680000,"68"
10,"Speed LFO"," %",0.718750,0.710000,"71"
10,"Speed LFO"," %",0.750000,0.750000,"75"
10,"Speed LFO"," %",0.781250,0.780000,"78"
10,"Speed LFO"," %",0.812500,0.810000,"81"
10,"Speed LFO"," %",0.843750,0.840000,"84"
10,"Speed LFO"," %",0.875000,0.870000,"87"
10,"Speed LFO"," %",0.906250,0.900000,"90"
10,"Speed LFO"," %",0.937500,0.930000,"93"
10,"Speed LFO"," %",0.968750,0.960000,"96"
10,"Speed LFO"," %",1.000000,1.000000,"100"
11,"Std. Dev."," %",0.000000,0.000000,"0"
11,"Std. Dev."," %",0.031250,0.030000,"3"
11,"Std. Dev."," %",0.062500,0.060000,"6"
11,"Std. Dev."," %",0.093750,0.090000,"9"
11,"Std. Dev."," %",0.125000,0.120000,"12"
11,"Std. Dev."," %",0.156250,0.150000,"15"
11,"Std. Dev."," %",0.187500,0.180000,"18"
11,"Std. Dev."," %",0.218750,0.210000,"21"
11,"Std. Dev."," %",0.250000,0.250000,"25"
11,"Std. Dev."," %",0.281250,0.280000,"28"
11,"Std. Dev."," %",0.312500,0.310000,"31"
11,"Std. Dev."," %",0.343750,0.340000,"34"
11,"Std. Dev."," %",0.375000,0.370000,"37"
11,"Std. Dev."," %",0.406250,0.400000,"40"
11,"Std. Dev."," %",0.437500,0.430000,"43"
11,"Std. Dev."," %",0.468750,0.460000,"46"
11,"Std. Dev."," %",0.500000,0.500000,"50"
11,"Std. Dev."," %",0.531250,0.530000,"53"
11,"Std. Dev."," %",0.562500,0.560000,"56"
11,"Std. Dev."," %",0.593750,0.590000,"59"
11,"Std. Dev."," %",0.625000,0.620000,"62"
11,"Std. Dev."," %",0.656250,0.650000,"65"
11,"Std. Dev."," %",0.687500,0.680000,"68"
11,"Std. Dev."," %",0.718750,0.710000,"71"
11,"Std. Dev."," %",0.750000,0.750000,"75"
11,"Std. Dev."," %",0.781250,0.780000,"78"
11,"Std. Dev."," %",0.812500,0.810000,"81"
11,"Std. Dev."," %",0.843750,0.840000,"84"
11,"Std. Dev."," %",0.875000,0.870000,"87"
11,"Std. Dev."," %",0.906250,0.900000,"90"
11,"Std. Dev."," %",0.937500,0.930000,"93"
11,"Std. Dev."," %",0.968750,0.960000,"96"
11,"Std. Dev."," %",1.000000,1.000000,"100"
12,"Reflection"," %",0.000000,0.000000,"0"
